,Unnamed: 0,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
6276,6277,sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5883642,-58.3900662",330000.0,USD,5003592.0,330000.0,90.0,90.0,3666.666667,3666.666667,,,,http://recoleta.properati.com.ar/vojs_venta_departamentos_recoleta
6280,6281,sell,apartment,|Argentina|Capital Federal|Parque Avellaneda|,"-34.6451582,-58.4907929",92500.0,USD,1402522.0,92500.0,59.0,55.0,1567.79661,1681.818182,,3.0,,http://parque-avellaneda.properati.com.ar/yt30_venta_departamentos_parque-avellaneda_balcon_suite_parrilla_terraza_cifarelli-constructora-inmobiliaria_b9g
6288,6289,sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.596812,-58.413727",112000.0,USD,1698188.8,112000.0,,36.0,,3111.111111,,3.0,,http://palermo.properati.com.ar/1188g_venta_departamentos_capital-federal_cabrera-jose-a-_3300_luminoso_re-max-uno-iii
6290,6291,sell,apartment,|Argentina|Capital Federal|Puerto Madero|,"-34.6212351809,-58.3610688508",180000.0,USD,2729232.0,180000.0,37.0,37.0,4864.864865,4864.864865,,1.0,1200.0,http://puerto-madero.properati.com.ar/ovqy_venta_departamentos_puerto-madero
6311,6312,sell,apartment,|Argentina|Capital Federal|Paternal|,"-34.5904622,-58.370987",102921.0,USD,1560529.37,102921.0,51.0,46.0,2018.058824,2237.413043,12.0,2.0,,http://paternal.properati.com.ar/x6mu_venta_departamentos_paternal
6313,6314,sell,apartment,|Argentina|Capital Federal|Congreso|,"-34.6138007421,-58.3924221222",135000.0,USD,2046924.0,135000.0,97.0,56.0,1391.752577,2410.714286,,,,http://congreso.properati.com.ar/zc2y_venta_departamentos_congreso_suite_lavadero_patio_luminoso_lujoso_amoblado_impecable_vaira-propiedades
6326,6327,sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.572721,-58.483565",99306.0,USD,1505717.29,99306.0,,36.0,,2758.5,6.0,1.0,,http://villa-urquiza.properati.com.ar/12oo0_venta_departamentos_villa-urquiza_gimnasio_parrilla_piscina_sum_electrogeno_garage_subte-linea-b_urquiza
6339,6340,sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5921362,-58.4118019",190000.0,USD,2880856.0,190000.0,90.0,87.0,2111.111111,2183.908046,,3.0,,http://palermo.properati.com.ar/10iuh_venta_departamentos_palermo_luminoso_electrogeno_victorino-de-la-plaza_d03
6354,6355,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5600767,-58.4463618",340000.0,USD,5155216.0,340000.0,78.0,70.0,4358.974359,4857.142857,,3.0,,http://belgrano.properati.com.ar/1124i_venta_departamentos_belgrano_ziade-realty
6357,6358,sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.599762,-58.42598",86900.0,USD,1317612.56,86900.0,,38.0,,2286.842105,,2.0,,http://palermo.properati.com.ar/wku7_venta_departamentos_palermo
